,DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA ,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON,ZIP_CODE
11676,100214868,07/19/2010 12:00:00 AM,07/19/2010 12:00:00 AM,2051,2,Rampart,291,1,110,CRIMINAL HOMICIDE,0305 0430 0432 0906 1100 1402,19,M,H,103.0,ALLEY,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110.0,998.0,,,BONNIE BRAE,18TH                         ST,34.0413,-118.2829,90006
12507,100216825,08/25/2010 12:00:00 AM,08/25/2010 12:00:00 AM,2330,2,Rampart,237,1,110,CRIMINAL HOMICIDE,0432 0430 1100 1402,16,M,H,102.0,SIDEWALK,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110.0,998.0,,,TEMPLE,UNION,34.0687,-118.2632,90026
12807,100217495,09/09/2010 12:00:00 AM,09/09/2010 12:00:00 AM,730,2,Rampart,251,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1402,19,M,H,102.0,SIDEWALK,102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,400 S  RAMPART                      BL,,34.0649,-118.2797,90057
13183,100218364,09/25/2010 12:00:00 AM,09/25/2010 12:00:00 AM,1919,2,Rampart,245,1,110,CRIMINAL HOMICIDE,0416 0430 0906 1100 1402,30,F,H,109.0,PARK/PLAYGROUND,106.0,UNKNOWN FIREARM,IC,Invest Cont,110.0,,,,6TH                          ST,ALVARADO,34.0601,-118.2761,90057
14188,100220566,11/08/2010 12:00:00 AM,11/07/2010 12:00:00 AM,153,2,Rampart,217,1,110,CRIMINAL HOMICIDE,0309 0430 0906 1100 1310 1407,19,M,H,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,110.0,998.0,,,400 N  WESTLAKE                     AV,,34.0698,-118.2665,90026
14200,100220587,11/07/2010 12:00:00 AM,11/07/2010 12:00:00 AM,2152,2,Rampart,265,1,110,CRIMINAL HOMICIDE,0302 0334 0430 1100 1402,22,M,H,102.0,SIDEWALK,101.0,REVOLVER,AA,Adult Arrest,110.0,998.0,,,8TH,ALVARADO,34.0549,-118.2778,90057
17177,100306408,02/07/2010 12:00:00 AM,02/07/2010 12:00:00 AM,350,3,Southwest,363,1,110,CRIMINAL HOMICIDE,0309 0430 0906 1100 1310 1309,44,M,B,101.0,STREET,106.0,UNKNOWN FIREARM,IC,Invest Cont,110.0,,,,4000    ABOURNE                      RD,,34.0125,-118.3435,90008
17178,100306409,02/07/2010 12:00:00 AM,02/07/2010 12:00:00 AM,5,3,Southwest,392,1,110,CRIMINAL HOMICIDE,0430 0906 1100,23,M,B,101.0,STREET,106.0,UNKNOWN FIREARM,IC,Invest Cont,110.0,,,,4500    3RD                          AV,,34.0028,-118.3203,90062
17180,100306411,02/07/2010 12:00:00 AM,02/07/2010 12:00:00 AM,430,3,Southwest,315,1,110,CRIMINAL HOMICIDE,0342 0371 0430 0906 1100 1822,22,M,B,102.0,SIDEWALK,102.0,HAND GUN,AA,Adult Arrest,110.0,,,,2300 W  23RD                         ST,,34.036,-118.3148,90018
18570,100309514,03/24/2010 12:00:00 AM,03/23/2010 12:00:00 AM,1752,3,Southwest,334,1,110,CRIMINAL HOMICIDE,0312 0430 0906 1100 1402 1407,51,M,H,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,110.0,,,,4100 W  29TH                         ST,,34.0295,-118.3338,90018
18829,100309977,03/31/2010 12:00:00 AM,03/31/2010 12:00:00 AM,955,3,Southwest,394,1,110,CRIMINAL HOMICIDE,0342 0430 0906 1100 1309 1402 1822,22,M,B,102.0,SIDEWALK,102.0,HAND GUN,IC,Invest Cont,110.0,,,,4100    SUTRO                        AV,,34.0099,-118.3231,90062
20493,100313407,05/17/2010 12:00:00 AM,05/16/2010 12:00:00 AM,1815,3,Southwest,334,1,110,CRIMINAL HOMICIDE,0400 0416 0430 0429 0913 1100 1300,55,F,B,121.0,YARD (RESIDENTIAL/BUSINESS),101.0,REVOLVER,IC,Invest Cont,110.0,,,,3000    11TH                         AV,,34.0277,-118.3293,90018
20672,100313791,05/22/2010 12:00:00 AM,05/21/2010 12:00:00 AM,1440,3,Southwest,334,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1240 1310 1501,20,M,B,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110.0,,,,4200 W  28TH                         ST,,34.0313,-118.3316,90018
21282,100315068,06/09/2010 12:00:00 AM,06/08/2010 12:00:00 AM,1725,3,Southwest,357,1,110,CRIMINAL HOMICIDE,0302 0342 0906 1100 1402 1407,34,M,B,102.0,SIDEWALK,109.0,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110.0,,,,3400 S  BUDLONG                      AV,,34.0255,-118.2959,90007
21284,100315070,06/09/2010 12:00:00 AM,06/08/2010 12:00:00 AM,1720,3,Southwest,356,1,110,CRIMINAL HOMICIDE,0302 0342 0430 0906 1100 1310 1402 1407,41,M,B,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110.0,,,,1400 W  35TH                         PL,,34.0237,-118.3002,90018
21380,100315254,06/12/2010 12:00:00 AM,06/12/2010 12:00:00 AM,225,3,Southwest,391,1,110,CRIMINAL HOMICIDE,0302 0430 1100 1402,30,M,B,101.0,STREET,102.0,HAND GUN,AA,Adult Arrest,110.0,,,,4100    DON TOMASO                   DR,,34.0055,-118.3458,90008
23241,100318775,07/29/2010 12:00:00 AM,07/29/2010 12:00:00 AM,2245,3,Southwest,394,1,110,CRIMINAL HOMICIDE,0430 1100 1310 1402 1407 1822,27,F,B,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110.0,998.0,,,4100    4TH                          AV,,34.0108,-118.3214,90062
25249,100322841,09/28/2010 12:00:00 AM,09/28/2010 12:00:00 AM,720,3,Southwest,398,1,110,CRIMINAL HOMICIDE,0302 0345 0430 0906 1100 1402,29,M,H,101.0,STREET,102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,S  HOOVER                       ST,W  MARTIN LUTHER KING JR        BL,34.0111,-118.2872,90037
25525,100323410,10/06/2010 12:00:00 AM,10/06/2010 12:00:00 AM,1430,3,Southwest,392,1,110,CRIMINAL HOMICIDE,0342 0430 0429 1100 1309 1822,25,M,B,102.0,SIDEWALK,102.0,HAND GUN,IC,Invest Cont,110.0,,,,48TH                         ST,3RD                          AV,34.0001,-118.3203,90062
26364,100325111,10/31/2010 12:00:00 AM,10/30/2010 12:00:00 AM,1830,3,Southwest,353,1,110,CRIMINAL HOMICIDE,0302 0430 1100 1402,18,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102.0,HAND GUN,IC,Invest Cont,110.0,998.0,,,3900    CHESAPEAKE                   AV,,34.0227,-118.3452,90008
27393,100327035,11/30/2010 12:00:00 AM,11/23/2010 12:00:00 AM,420,3,Southwest,394,1,110,CRIMINAL HOMICIDE,0302 0327 0430 1100 1309 1407 1402,49,M,H,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110.0,,,,4300    ARLINGTON                    AV,,34.0055,-118.3182,90062
27925,100328036,12/14/2010 12:00:00 AM,12/13/2010 12:00:00 AM,2055,3,Southwest,396,1,110,CRIMINAL HOMICIDE,0302 0430 0906 1100 1259 1402 1407,17,M,H,102.0,SIDEWALK,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110.0,,,,800 W  43RD                         ST,,34.0055,-118.2872,90037
28590,100400704,03/05/2010 12:00:00 AM,03/05/2010 12:00:00 AM,1807,4,Hollenbeck,466,1,110,CRIMINAL HOMICIDE,0302 0342 0430 0906 1100 1309,19,M,H,104.0,DRIVEWAY,109.0,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110.0,,,,2400    MICHIGAN                     AV,,34.0453,-118.2088,90033
28710,100400992,05/25/2010 12:00:00 AM,05/25/2010 12:00:00 AM,730,4,Hollenbeck,404,1,110,CRIMINAL HOMICIDE,0302 0407 0430 1100,20,M,B,105.0,PEDESTRIAN OVERCROSSING,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110.0,,,,5500    VIA MARISOL,,34.1045,-118.185,90042
28859,100401350,08/28/2010 12:00:00 AM,08/28/2010 12:00:00 AM,1934,4,Hollenbeck,424,1,110,CRIMINAL HOMICIDE,0302 0430 0906 1100 1251 1259 1402 1407,15,M,H,109.0,PARK/PLAYGROUND,109.0,SEMI-AUTOMATIC PISTOL,AO,Adult Other,110.0,998.0,,,MISSION                      RD,SELIG                        PL,34.0685,-118.20100000000001,90031
28882,100401404,09/16/2010 12:00:00 AM,09/16/2010 12:00:00 AM,2330,4,Hollenbeck,489,1,110,CRIMINAL HOMICIDE,0411 0913 1243 1401 1402 1416 1813 2000,34,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",207.0,OTHER KNIFE,AA,Adult Arrest,110.0,998.0,,,3000    ROSALIND                     PL,,34.024,-118.2126,90023
28931,100401559,11/03/2010 12:00:00 AM,10/31/2010 12:00:00 AM,2343,4,Hollenbeck,457,1,110,CRIMINAL HOMICIDE,0602 1243 1309 1402,19,F,H,501.0,SINGLE FAMILY DWELLING,307.0,VEHICLE,AA,Adult Arrest,110.0,998.0,,,2700    CINCINNATI                   ST,,34.046,-118.2035,90033
28932,100401560,10/31/2010 12:00:00 AM,10/31/2010 12:00:00 AM,2342,4,Hollenbeck,457,1,110,CRIMINAL HOMICIDE,0602 1257 1309,0,F,H,501.0,SINGLE FAMILY DWELLING,307.0,VEHICLE,AA,Adult Arrest,110.0,,,,2700    CINCINNATI                   ST,,34.046,-118.2035,90033
28989,100401700,12/04/2010 12:00:00 AM,12/04/2010 12:00:00 AM,1900,4,Hollenbeck,448,1,110,CRIMINAL HOMICIDE,0302 0430 0906 0913 1100,41,M,H,108.0,PARKING LOT,106.0,UNKNOWN FIREARM,AA,Adult Arrest,110.0,,,,1500    MURCHISON                    ST,,34.0594,-118.1958,90033
28999,100401726,12/15/2010 12:00:00 AM,12/15/2010 12:00:00 AM,1210,4,Hollenbeck,467,1,110,CRIMINAL HOMICIDE,0302 0326 0334 0342 0430 1100 1309 1402 1409 1407,27,M,H,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110.0,998.0,,,2600 E  3RD                          ST,,34.0403,-118.2088,90033
29137,100404324,01/08/2010 12:00:00 AM,01/08/2010 12:00:00 AM,2344,4,Hollenbeck,497,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1240 1310 1407,21,F,H,101.0,STREET,107.0,OTHER FIREARM,IC,Invest Cont,110.0,998.0,,,LORENA,OLYMPIC,34.0188,-118.2066,90023
30578,100407944,03/29/2010 12:00:00 AM,03/29/2010 12:00:00 AM,1305,4,Hollenbeck,466,1,110,CRIMINAL HOMICIDE,0430 0906 1100,25,M,H,103.0,ALLEY,106.0,UNKNOWN FIREARM,AA,Adult Arrest,110.0,,,,2500    MICHIGAN                     AV,,34.0447,-118.2075,90033
30581,100407949,03/30/2010 12:00:00 AM,03/29/2010 12:00:00 AM,2040,4,Hollenbeck,415,1,110,CRIMINAL HOMICIDE,0202 0342 0430 0906 1100 1402 1407,20,M,H,102.0,SIDEWALK,102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,2600    SICHEL                       ST,,34.0765,-118.2131,90031
30620,100408074,04/01/2010 12:00:00 AM,04/01/2010 12:00:00 AM,1955,4,Hollenbeck,471,1,110,CRIMINAL HOMICIDE,0302 0906 1100 1309 1402,19,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102.0,HAND GUN,IC,Invest Cont,110.0,998.0,,,500 S  CLARENCE                     ST,,34.0409,-118.2234,90033
30801,100408524,04/10/2010 12:00:00 AM,04/10/2010 12:00:00 AM,2245,4,Hollenbeck,407,1,110,CRIMINAL HOMICIDE,0305 0430 0906 1100 1309 1310 1312 1407 1402,23,M,H,101.0,STREET,106.0,UNKNOWN FIREARM,IC,Invest Cont,110.0,998.0,,,3500    MONTEREY                     RD,,34.0862,-118.1875,90032
31344,100409753,05/10/2010 12:00:00 AM,05/10/2010 12:00:00 AM,220,4,Hollenbeck,468,1,110,CRIMINAL HOMICIDE,0302 0430 1100 1251,16,M,H,102.0,SIDEWALK,102.0,HAND GUN,IC,Invest Cont,110.0,,,,3200 E  1ST                          ST,,34.0388,-118.1988,90063
31579,100410317,05/22/2010 12:00:00 AM,05/22/2010 12:00:00 AM,205,4,Hollenbeck,442,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1407 1409 1402,27,M,H,101.0,STREET,106.0,UNKNOWN FIREARM,AA,Adult Arrest,110.0,998.0,,,500    GALLARDO                     ST,,34.0535,-118.2238,90033
31746,100410690,05/30/2010 12:00:00 AM,05/30/2010 12:00:00 AM,1125,4,Hollenbeck,456,1,110,CRIMINAL HOMICIDE,0302 0430 0906 1100 1251 1259 1309 1402 1407,17,M,H,102.0,SIDEWALK,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110.0,998.0,,,800 N  FICKETT                      ST,,34.0503,-118.20299999999999,90033
33758,100415279,09/18/2010 12:00:00 AM,09/18/2010 12:00:00 AM,2238,4,Hollenbeck,499,1,110,CRIMINAL HOMICIDE,0430 1100 1251 1402,20,M,H,101.0,STREET,102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,ESPERANZA                    ST,EMERY                        ST,34.014,-118.20100000000001,90023
33909,100415689,09/25/2010 12:00:00 AM,09/25/2010 12:00:00 AM,205,4,Hollenbeck,499,1,110,CRIMINAL HOMICIDE,0302 0312 0430 1100 1402 1407,22,M,H,102.0,SIDEWALK,102.0,HAND GUN,IC,Invest Cont,110.0,998.0,,,1200    LOS PALOS                    ST,,34.0189,-118.1954,90023
35003,100418261,11/23/2010 12:00:00 AM,11/23/2010 12:00:00 AM,1950,4,Hollenbeck,464,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1409 1402,30,M,H,102.0,SIDEWALK,102.0,HAND GUN,IC,Invest Cont,110.0,998.0,,,200 N  CHICAGO                      ST,,34.0462,-118.2114,90033
35036,100418331,11/26/2010 12:00:00 AM,11/26/2010 12:00:00 AM,1105,4,Hollenbeck,453,1,110,CRIMINAL HOMICIDE,0302 0342 0430 0906 1100 1309 1313 1402,25,M,H,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110.0,998.0,,,1400    PENNSYLVANIA                 AV,,34.0512,-118.221,90033
35513,100419406,12/23/2010 12:00:00 AM,12/23/2010 12:00:00 AM,1403,4,Hollenbeck,453,1,110,CRIMINAL HOMICIDE,0326 0342 0430 0906 1100 1309 1313 1402 1416 1816,18,M,H,102.0,SIDEWALK,109.0,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110.0,998.0,,,1400 E  CESAR E CHAVEZ               AV,,34.0528,-118.2212,90033
35845,100500920,03/03/2010 12:00:00 AM,03/02/2010 12:00:00 AM,800,5,Harbor,503,1,110,CRIMINAL HOMICIDE,0344 0411 0913 1402,47,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",205.0,KITCHEN KNIFE,AA,Adult Arrest,110.0,998.0,,,1000 W  253RD                        ST,,33.7947,-118.2928,90710
36862,100502948,12/12/2010 12:00:00 AM,12/12/2010 12:00:00 AM,605,5,Harbor,506,1,110,CRIMINAL HOMICIDE,0411 0430 0906 1100 1402,18,M,H,102.0,SIDEWALK,207.0,OTHER KNIFE,IC,Invest Cont,110.0,998.0,,,21400    HALLDALE                     AV,,33.8345,-118.3017,90501
36898,100502998,02/16/2010 12:00:00 AM,02/16/2010 12:00:00 AM,1200,5,Harbor,587,1,110,CRIMINAL HOMICIDE,0416,63,M,W,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,110.0,,,,500 W  40TH                         ST,,33.7079,-118.2879,90822
38854,100508808,04/03/2010 12:00:00 AM,04/03/2010 12:00:00 AM,100,5,Harbor,514,1,110,CRIMINAL HOMICIDE,0430 1100 1300 1309 1310 1407,38,M,H,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,110.0,,,,1200    FRIGATE                      AV,,33.786,-118.2779,90744
39837,100511148,05/17/2010 12:00:00 AM,05/17/2010 12:00:00 AM,2238,5,Harbor,529,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1309 1402,34,M,W,733.0,BAR/SPORTS BAR (OPEN DAY & NIGHT),102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,400 N  AVALON                       BL,,33.7742,-118.262,90744
40254,100512172,06/04/2010 12:00:00 AM,06/04/2010 12:00:00 AM,2330,5,Harbor,524,1,110,CRIMINAL HOMICIDE,0326 0430 0906 1100 1309,22,M,H,121.0,YARD (RESIDENTIAL/BUSINESS),102.0,HAND GUN,AO,Adult Other,110.0,,,,1200 W  D                            ST,,33.7734,-118.2768,90744
40668,100513208,06/21/2010 12:00:00 AM,06/20/2010 12:00:00 AM,1100,5,Harbor,585,1,110,CRIMINAL HOMICIDE,0430 1100 1402,69,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",106.0,UNKNOWN FIREARM,IC,Invest Cont,110.0,998.0,,,700 W  19TH                         ST,,33.727,-118.2924,90731
40943,100513802,07/05/2010 12:00:00 AM,07/05/2010 12:00:00 AM,2218,5,Harbor,506,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1402 1407,33,M,W,102.0,SIDEWALK,102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,1600 W  219TH                        ST,,33.8291,-118.3065,90501
41017,100513952,07/09/2010 12:00:00 AM,07/09/2010 12:00:00 AM,215,5,Harbor,589,1,110,CRIMINAL HOMICIDE,0411,10,F,O,501.0,SINGLE FAMILY DWELLING,205.0,KITCHEN KNIFE,IC,Invest Cont,110.0,,,,200 W  29TH                         ST,,33.7178,-118.2853,90822
41335,100514657,07/23/2010 12:00:00 AM,07/23/2010 12:00:00 AM,720,5,Harbor,511,1,110,CRIMINAL HOMICIDE,0342 0430 0432 1100 1306 1309 1402,24,M,H,104.0,DRIVEWAY,102.0,HAND GUN,IC,Invest Cont,110.0,998.0,,,25600    SENATOR                      AV,,33.7915,-118.3027,90710
41535,100515076,08/01/2010 12:00:00 AM,08/01/2010 12:00:00 AM,540,5,Harbor,506,1,110,CRIMINAL HOMICIDE,0411 0913 0907,45,M,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",200.0,KNIFE WITH BLADE 6INCHES OR LESS,AA,Adult Arrest,110.0,,,,1300 W  CARSON                       ST,,33.8316,-118.2996,90502
41720,100515478,08/10/2010 12:00:00 AM,08/10/2010 12:00:00 AM,40,5,Harbor,529,1,110,CRIMINAL HOMICIDE,0411 0913 1300 1402 1821 2000,36,M,H,503.0,HOTEL,200.0,KNIFE WITH BLADE 6INCHES OR LESS,AA,Adult Arrest,110.0,998.0,,,800    LAKME                        AV,,33.7802,-118.2593,90744
42464,100517178,09/16/2010 12:00:00 AM,09/16/2010 12:00:00 AM,1950,5,Harbor,514,1,110,CRIMINAL HOMICIDE,0202 0430 0906 1100 1309 1310 1402,24,M,B,122.0,"VEHICLE, PASSENGER/TRUCK",102.0,HAND GUN,AA,Adult Arrest,110.0,998.0,,,PACIFIC COAST,FIGUEROA,33.7905,-118.2811,90710
43039,100518465,10/13/2010 12:00:00 AM,10/13/2010 12:00:00 AM,920,5,Harbor,518,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1309 1409 1407,17,M,H,124.0,BUS STOP,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110.0,998.0,,,AVALON,Q,33.7954,-118.2636,90744
44025,100520519,11/29/2010 12:00:00 AM,11/29/2010 12:00:00 AM,2000,5,Harbor,526,1,110,CRIMINAL HOMICIDE,0416 0430 0906 1100 1402,27,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",109.0,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110.0,998.0,,,900 N  FRIES                        AV,,33.7815,-118.265,90744
44364,100521176,12/12/2010 12:00:00 AM,12/12/2010 12:00:00 AM,1025,5,Harbor,524,1,110,CRIMINAL HOMICIDE,0430 0906 1100,29,M,H,101.0,STREET,106.0,UNKNOWN FIREARM,IC,Invest Cont,110.0,,,,1100    ALTON                        ST,,33.7771,-118.2753,90744
